Name,ASIC/Codename,Vendor ID,Device ID, Integrated/APU,Discrete Mobile Part
NVIDIA GeForce 9400,,0x10DE,0x087A,0,0
NVIDIA ION,,0x10DE,0x087D,0,1
NVIDIA ION LE,,0x10DE,0x087E,0,1
NVIDIA ION LE,,0x10DE,0x087F,0,1
NVIDIA GeForce 320M,,0x10DE,0x08A0,0,1
NVIDIA GeForce 320M,,0x10DE,0x08A2,0,1
NVIDIA GeForce 320M,,0x10DE,0x08A3,0,1
NVIDIA GeForce 320M,,0x10DE,0x08A4,0,1
NVIDIA GeForce GT 220,,0x10DE,0x0A20,0,0
NVIDIA GeForce 315,,0x10DE,0x0A22,0,0
NVIDIA GeForce 210,,0x10DE,0x0A23,0,0
NVIDIA GeForce 405,,0x10DE,0x0A26,0,0
NVIDIA GeForce 405,,0x10DE,0x0A27,0,0
NVIDIA GeForce GT 230M,,0x10DE,0x0A28,0,2
NVIDIA GeForce GT 330M,,0x10DE,0x0A29,0,2
NVIDIA GeForce GT 230M,,0x10DE,0x0A2A,0,2
NVIDIA GeForce GT 330M,,0x10DE,0x0A2B,0,2
NVIDIA NVS 5100M,,0x10DE,0x0A2C,0,2
NVIDIA GeForce GT 320M,,0x10DE,0x0A2D,0,1
NVIDIA GeForce GT 415,,0x10DE,0x0A32,0,0
NVIDIA GeForce GT 240M,,0x10DE,0x0A34,0,1
NVIDIA GeForce GT 325M,,0x10DE,0x0A35,0,1
NVIDIA Quadro 400,,0x10DE,0x0A38,0,0
NVIDIA Quadro FX 880M,,0x10DE,0x0A3C,0,1
NVIDIA GeForce G210,,0x10DE,0x0A60,0,0
NVIDIA GeForce 205,,0x10DE,0x0A62,0,0
NVIDIA GeForce 310,,0x10DE,0x0A63,0,0
NVIDIA ION,,0x10DE,0x0A64,0,1
NVIDIA GeForce 210,,0x10DE,0x0A65,0,0
NVIDIA GeForce 310,,0x10DE,0x0A66,0,0
NVIDIA GeForce 315,,0x10DE,0x0A67,0,0
NVIDIA GeForce G105M,,0x10DE,0x0A68,0,1
NVIDIA GeForce G105M,,0x10DE,0x0A69,0,1
NVIDIA NVS 2100M,,0x10DE,0x0A6A,0,1
NVIDIA NVS 3100M,,0x10DE,0x0A6C,0,1
NVIDIA GeForce 305M,,0x10DE,0x0A6E,0,1
NVIDIA ION,,0x10DE,0x0A6F,0,1
NVIDIA GeForce 310M,,0x10DE,0x0A70,0,1
NVIDIA GeForce 305M,,0x10DE,0x0A71,0,1
NVIDIA GeForce 310M,,0x10DE,0x0A72,0,1
NVIDIA GeForce 305M,,0x10DE,0x0A73,0,1
NVIDIA GeForce G210M,,0x10DE,0x0A74,0,1
NVIDIA GeForce 310M,,0x10DE,0x0A75,0,1
NVIDIA ION,,0x10DE,0x0A76,0,1
NVIDIA Quadro FX 380 LP,GT218GL Tesla,0x10DE,0x0A78,0,0
NVIDIA GeForce 405,,0x10DE,0x0A7A,0,0
NVIDIA Quadro FX 380M,,0x10DE,0x0A7C,0,1
NVIDIA GeForce GT 330,,0x10DE,0x0CA0,0,0
NVIDIA GeForce GT 320,,0x10DE,0x0CA2,0,0
NVIDIA GeForce GT 240,,0x10DE,0x0CA3,0,0
NVIDIA GeForce GT 340,,0x10DE,0x0CA4,0,0
NVIDIA GeForce GT 220,,0x10DE,0x0CA5,0,0
NVIDIA GeForce GT 330,,0x10DE,0x0CA7,0,0
NVIDIA GeForce GTS 250M,,0x10DE,0x0CA9,0,1
NVIDIA GeForce GT 220,,0x10DE,0x0CAC,0,0
NVIDIA GeForce GT 335M,,0x10DE,0x0CAF,0,1
NVIDIA GeForce GTS 350M,,0x10DE,0x0CB0,0,1
NVIDIA GeForce GTS 360M,,0x10DE,0x0CB1,0,1
NVIDIA Quadro FX 1800M,,0x10DE,0x0CBC,0,1
NVIDIA GeForce GT 440,,0x10DE,0x0DC0,0,0
NVIDIA GeForce GTS 450,,0x10DE,0x0DC4,0,0
NVIDIA GeForce GTS 450,,0x10DE,0x0DC5,0,0
NVIDIA GeForce GTS 450,,0x10DE,0x0DC6,0,0
NVIDIA GeForce GT 555M,,0x10DE,0x0DCD,0,1
NVIDIA GeForce GT 555M,,0x10DE,0x0DCE,0,1
NVIDIA GeForce GTX 460M,,0x10DE,0x0DD1,0,1
NVIDIA GeForce GT 445M,,0x10DE,0x0DD2,0,1
NVIDIA GeForce GT 435M,,0x10DE,0x0DD3,0,1
NVIDIA GeForce GT 550M,,0x10DE,0x0DD6,0,1
NVIDIA Quadro 2000,,0x10DE,0x0DD8,0,0
NVIDIA Quadro 2000M,,0x10DE,0x0DDA,0,1
NVIDIA GeForce GT 440,,0x10DE,0x0DE0,0,0
NVIDIA GeForce GT 430,,0x10DE,0x0DE1,0,0
NVIDIA GeForce GT 420,,0x10DE,0x0DE2,0,0
NVIDIA GeForce GT 635M,,0x10DE,0x0DE3,0,1
NVIDIA GeForce GT 520,,0x10DE,0x0DE4,0,0
NVIDIA GeForce GT 530,,0x10DE,0x0DE5,0,0
NVIDIA GeForce GT 620M,,0x10DE,0x0DE8,0,1
NVIDIA GeForce GT 630M,,0x10DE,0x0DE9,0,1
NVIDIA GeForce 610M,,0x10DE,0x0DEA,0,1
NVIDIA GeForce GT 555M,,0x10DE,0x0DEB,0,1
NVIDIA GeForce GT 525M,,0x10DE,0x0DEC,0,1
NVIDIA GeForce GT 520M,,0x10DE,0x0DED,0,1
NVIDIA GeForce GT 415M,,0x10DE,0x0DEE,0,1
NVIDIA NVS 5400M,,0x10DE,0x0DEF,0,1
NVIDIA GeForce GT 425M,,0x10DE,0x0DF0,0,1
NVIDIA GeForce GT 420M,,0x10DE,0x0DF1,0,1
NVIDIA GeForce GT 435M,,0x10DE,0x0DF2,0,1
NVIDIA GeForce GT 420M,,0x10DE,0x0DF3,0,1
NVIDIA GeForce GT 540M,,0x10DE,0x0DF4,0,1
NVIDIA GeForce GT 525M,,0x10DE,0x0DF5,0,1
NVIDIA GeForce GT 550M,,0x10DE,0x0DF6,0,1
NVIDIA GeForce GT 520M,,0x10DE,0x0DF7,0,1
NVIDIA Quadro 600,,0x10DE,0x0DF8,0,0
NVIDIA Quadro 500M,,0x10DE,0x0DF9,0,1
