ID, DeviceName
0A73, GeForce 305M
0A74, GeForce G210M
0A65, GeForce 210
0A66, GeForce 310
0A67, GeForce 315
0A68, GeForce G 105M
0A69, GeForce G 105M
0A6A, GeForce GT 240M
0A35, GeForce GT 325M
0A38, GeForce G210
0A62, GeForce 205
0A63, GeForce 310
0A64, GeForce GT 230M
0A29, GeForce GT 330M
0A2A, GeForce GT 230M
0A2B, GeForce GT 330M
0A2C, GeForce GT 320M
0A30, GeForce 505
0A32, GeForce GT 415
08A5, GeForce 320M
0A20, GeForce GT 220
0A21, GeForce GT 330M
0A22, GeForce 315
0A23, GeForce 210
0A26, GeForce 405
0A27, GeForce 405
0A24, GeForce 405
087A, GeForce 9400
087D, GeForce 320M
08A2, GeForce 320M
08A3, GeForce 320M
08A4, GeForce 320M
086E, GeForce 9100M G
086F, GeForce 8200M G
0870, GeForce 9400M
0871, GeForce 9200
0872, GeForce G102M
0873, GeForce G102M
0874, GeForce 9400M / ION
0866, GeForce 9400M G
0867, GeForce 9400
0868, GeForce 9400
086A, GeForce 9400
086C, GeForce 9300 / nForce 730i
086D, GeForce 9200
084D, GeForce 8100 / nForce 720a
0860, GeForce 9300
0861, GeForce 9400
0862, GeForce 9400M G
0863, GeForce 9400M
0864, GeForce 9300
0865, GeForce 9300 / ION
0845, GeForce 8200M G
0846, GeForce 9200
0847, GeForce 9100
0848, GeForce 8300
0849, GeForce 8200
084A, GeForce 8200
084C, GeForce 7100 / nForce 620i
07F0, GeForce 8200M
0844, GeForce 9100M G
07DC, GeForce 7150 / nForce 630i
07E1, GeForce 7100 / nForce 630i
07E2, GeForce 7050 / nForce 630i
07E3, GeForce 7050 / nForce 610i
28B8, RTX 2000 Ada Generation Laptop GPU
28E0, RTX 3000 Ada Generation Laptop GPU
2860, RTX 4000 SFF Ada Generation
27B7, L16
27B8, L4
27BA, RTX 4000 Ada Generation Laptop GPU
27BB, RTX 3500 Ada Generation Laptop GPU
27E0, L40 CNX
2704, RTX 5000 Ada Generation Laptop GPU
2757, AC AD104 20GB
2786, RTX A2000 Embedded GPU
25FB, RTX A500 Embedded GPU
2681, RTX TITAN Ada
2684, RTX 6000 Ada Generation
26B2, RTX 5000 Ada Generation
26B5, L40
26B8, L40G
25E0, RTX A1000 Embedded GPU
25EC, RTX A500 Laptop GPU
25B9, RTX A1000 Laptop GPU
25BA, RTX A2000 8GB Laptop GPU
25BC, RTX A1000 6GB Laptop GPU
25BD, RTX A500 Laptop GPU
25B5, RTX A4 Mobile
25B8, RTX A2000 Mobile
25B6, A2 / A16
25AB, RTX A2000
2571, RTX A2000 12GB
2544, Geforce RTX 3050
2509, Geforce RTX 3070 Ti Laptop GPU
24FA, RTX A4500 Embedded GPU
24DF, RTX A3000 Mobile
24B9, RTX A3000 12GB Laptop GPU
24BA, RTX A4500 Laptop GPU
24BB, RTX A3000 Laptop GPU
24C7, RTX A4000
24B6, RTX A5000 Mobile
24B7, RTX A4000 Mobile
24B1, RTX A4000H
24AD, Geforce RTX 3070 Ti Laptop GPU
24A4, CMP 70HX
249F, RTX A5500 Laptop GPU
233D, H100 96GB
2342, GH200 120GB
2343, GH200 480GB
2420, H100
2324, H800
2330, H100 SXM5 80GB
2331, H100 PCIe
2337, H100 SXM5 64GB
2339, H100 SXM5 94GB
233A, H800L 94GB
228E, H100 CNX
2322, H800 PCIe
2321, H100L 94GB
2296, RTX A4500
2233, RTX A5500
2238, A10M
2235, A40
223F, A10
2237, A10G
220A, RTX A6000
220D, CMP 90HX
2216, RTX A5000
2207, CMP 30HX
2182, A100 PCIe 40GB
20F2, A100-PG506-217
20F3, A800-SXM4-80GB
20F5, A800 80GB PCIe
20F6, A800 40GB PCIe
20FD, AX800 Converged Accelerator
20FE, GRID A100A
20BF, GRID A100B
20F0, A100-PG506-207
20C0, DRIVE A100 PROD
20C2, CMP 170HX
20B8, A100X
20B9, A30X
20B4, A100 PCIe 80GB
20B6, PG506-232
20B7, A30 PCIe
20B0, A100 SXM4 40GB
2082, CMP 170HX
20B3, A100-SXM-64GB
2081, A100 PCIe 40GB
20B2, A100 SXM4 80GB
1FBF, T1000 8GB
1FF2, T400 4GB
2080, Quadro T1000 Mobile
1FDD, Quadro T2000 Mobile / Max-Q
1FB9, Quadro T1000 Mobile
1FB6, T600 Laptop GPU
1FB7, T550 Laptop GPU
1FBC, T1200 Laptop GPU
1FBB, Quadro T500 Mobile
1FBA, T600 Mobile
1FAE, Quadro T1000 Mobile
1FB1, T600
1FB2, Quadro T400 Mobile
1F99, Quadro RTX 3000 Mobile Refresh
1F36, Quadro RTX 3000 Mobile / Max-Q
1F42, CMP 40HX
1F06, Quadro RTX 5000 Mobile Refresh
1EB8, Tesla T4
1EB9, PG189 SKU600
1EAB, Quadro RTX 5000
1EB1, Quadro RTX 4000
1EB5, Quadro RTX 5000 Mobile / Max-Q
1EB6, Quadro RTX 4000 Mobile / Max-Q
1EB4, T4G
1E84, Tesla T10 16GB / GRID RTX T10-2/T10-4/T10-8
1E38, Tesla T40 24GB
1E3C, Quadro RTX 6000/8000
1E81, Quadro RTX 6000/8000
1E36, Quadro RTX 6000
1E09, CMP 50HX
1DF0, Tesla PG500-216
1DF2, Tesla PG503-216
1DF5, Tesla V100 SXM2 16GB
1DF6, Tesla V100S PCIe 32GB
1E02, TITAN RTX
1E03, Tesla V100 PCIe 16GB
1DB5, Tesla V100 SXM2 32GB
1DB6, Tesla V100 PCIe 32GB
1DB7, Tesla V100 DGXS 32GB
1DB8, Tesla V100 SXM3 32GB
1DBA, Quadro GV100
1DBE, Quadro P520
1D52, TITAN V
1DB1, Tesla V100 SXM2 16GB
1DB2, Tesla V100 DGXS 16GB
1DB3, Tesla V100 FHHL 16GB
1D10, Quadro P500 Mobile
1CBC, Quadro P600 Mobile
1CBD, Quadro P620
1CCC, Quadro P2000
1CFB, Quadro P1000
1D01, Quadro P620
1CBA, Quadro P2000 Mobile
1CBB, Quadro P1000 Mobile
1CB1, Quadro P1000
1CB2, Quadro P600
1CB3, Quadro P400
1C92, P106M
1C21, Quadro P2000
1C31, Quadro P2200
1C35, Quadro P2000 Mobile
1C03, P106-100
1C09, P106-090
1C20, P104-101
1BE0, Quadro P5200 Mobile
1BB6, Quadro P5000 Mobile
1BB7, Quadro P4000 Mobile
1BB8, Quadro P3000 Mobile
1BB9, Quadro P4200 Mobile
1BBB, Quadro P3200 Mobile
1BAA, Quadro P5000
1BB1, Quadro P4000
1BB3, Tesla P4
1BB4, Tesla P6
1B83, P104-100
1BA0, Tesla P10
1B02, TITAN Xp
1B04, P102-100
1B30, Quadro P6000
1B38, Tesla P40
1AF1, A100 NVSwitch
1ADB, TITAN X
1B01, Quadro M6000
17F1, Quadro M6000 24GB
17FD, Tesla M40
1AD0, GRID M3-3020
179C, Tesla P100 SXM2 16GB
1617, Quadro M2000
1431, Tesla M4
1436, Quadro M2200 Mobile
15F0, Quadro GP100
15F1, Tesla P100 PCIe 12GB
15F8, Tesla P100 PCIe 16GB
13FB, Quadro M5500
1401, Quadro M4000
13F2, Tesla M60
13F3, Tesla M6
13F8, Quadro M5000M / M5000 SE
13F9, Quadro M4000M
13FA, Quadro M3000M
13C3, Quadro M5000
13BA, Quadro K2200
13BB, Quadro K620
13BC, Quadro K1200
13BD, Tesla M10
13C0, Quadro M1000M
13B2, Quadro M600M
13B3, Quadro K2200M
13B4, Quadro M620 Mobile
13B6, Quadro M1200 Mobile
13B9, NVS 810
1398, Quadro M2000M
1381, GRID M30
1390, Quadro K620M / Quadro M500M
137B, Quadro M520 Mobile
137D, Quadro K610M
12BA, Quadro K510M
1340, Quadro K4000
11FC, Quadro K2100M
11C7, Quadro K3000M
11BF, GRID K2
11C0, Quadro K5000
11BB, Quadro 4100
11BC, Quadro K5000M
11BD, Quadro K4000M
11B0, GRID K240Q / K260Q vGPU
11B1, GRID K2 Tesla USM
11B4, Quadro K4200
11B6, Quadro K3100M
11B7, Quadro K4100M
11B8, Quadro K5100M
11B9, GRID IceCube
11A8, Quadro K5100M
119F, Tesla K10
1191, Tesla K8
1195, GRID K520
118B, GRID K2 NVS USM
118D, GRID K200 vGPU
118E, NVS 300
10EF, Tesla C2090
1091, Tesla M2090
1094, Tesla M2075
1096, Tesla C2050 / C2075
109A, Quadro 5010M
109B, Quadro 7000
10C0, NVS 315
107D, NVS 310
1080, NVS 4200M
1057, Quadro NVS 4200M
1058, Tesla Stella SXM
1040, Tesla K40s
102A, Tesla K40t
102D, Tesla K80
102E, Tesla K40d
102F, Tesla Stella Solo
103A, Quadro K6000
103C, Quadro K5200
1022, Tesla K20c
1023, Tesla K40m
1024, Tesla K40c
1026, Tesla K20s
1027, Tesla K40st
1028, Tesla K20m
100C, Tesla K20X
101F, Tesla K20
1020, Tesla K20X
1021, Tesla K20Xm
0FFF, Quadro 410
1001, Quadro K500M
0FF9, Quadro K2000D
0FFA, Quadro K600
0FFB, Quadro K2000M
0FFC, Quadro K1000M
0FFD, NVS 510
0FFE, Quadro K2000
0FF1, NVS 1000
0FF2, GRID K1
0FF3, Quadro K420
0FF5, GRID K1 Tesla USM
0FF6, Quadro K1100M
0FF7, GRID K140Q vGPU
0FEA, GRID K340
0FE3, GRID K1 NVS USM
0FE7, GRID K100 vGPU
0FE8, N14P-GS
0FE9, Quadro 3000M
0E3B, Quadro 4000M
0E0C, Quadro 600
0DF9, Quadro 500M
0DFA, Quadro 1000M
0DFC, NVS 5200M
0E08, NVS 5400M
0DF0, Quadro 2000
0DDA, Quadro 2000M
0DE0, Quadro FX 1800M
0BF0, ION 2
0A78, Quadro FX 380 LP
0A7A, Quadro FX 380M
0A80, ION
0A70, NVS 2100M
0A6C, NVS 3100M
0A34, Quadro 400
0A3C, Quadro FX 880M
0A60, ION
0A28, NVS 5100M
0A2D, ION
087E, ION LE
087F, ION LE
08A0, ION
0876, nForce 760i SLI
0869, nForce 750a SLI
084F, nForce 730a
084B, nForce 780a/980a SLI
